year,destination,origin,refugees_value,ac_value
2008,Czech Rep.,Syrian Arab Rep.,16,72
2009,Czech Rep.,Syrian Arab Rep.,15,87
2010,Czech Rep.,Syrian Arab Rep.,23,110
2011,Czech Rep.,Syrian Arab Rep.,23,133
2012,Czech Rep.,Syrian Arab Rep.,54,187
2013,Czech Rep.,Syrian Arab Rep.,149,336
2014,Czech Rep.,Syrian Arab Rep.,236,572
2013,Dem. Rep. of the Congo,Syrian Arab Rep.,0,0
2014,Dem. Rep. of the Congo,Syrian Arab Rep.,0,0
2004,Denmark,Syrian Arab Rep.,177,177
2005,Denmark,Syrian Arab Rep.,188,365
2006,Denmark,Syrian Arab Rep.,213,578
2007,Denmark,Syrian Arab Rep.,218,796
2008,Denmark,Syrian Arab Rep.,272,1068
2009,Denmark,Syrian Arab Rep.,392,1460
2010,Denmark,Syrian Arab Rep.,750,2210
2011,Denmark,Syrian Arab Rep.,1197,3407
2012,Denmark,Syrian Arab Rep.,1903,5310
2013,Denmark,Syrian Arab Rep.,3271,8581
2014,Denmark,Syrian Arab Rep.,7253,15834
2013,Djibouti,Syrian Arab Rep.,0,0
2014,Djibouti,Syrian Arab Rep.,0,0
2010,Dominican Rep.,Syrian Arab Rep.,0,0
2011,Dominican Rep.,Syrian Arab Rep.,0,0
2012,Dominican Rep.,Syrian Arab Rep.,7,7
2013,Dominican Rep.,Syrian Arab Rep.,3,10
2014,Dominican Rep.,Syrian Arab Rep.,0,10
2004,Ecuador,Syrian Arab Rep.,0,0
2005,Ecuador,Syrian Arab Rep.,1,1
2006,Ecuador,Syrian Arab Rep.,1,2
2007,Ecuador,Syrian Arab Rep.,10,12
2008,Ecuador,Syrian Arab Rep.,10,22
2009,Ecuador,Syrian Arab Rep.,10,32
2010,Ecuador,Syrian Arab Rep.,9,41
2011,Ecuador,Syrian Arab Rep.,11,52
2012,Ecuador,Syrian Arab Rep.,11,63
2013,Ecuador,Syrian Arab Rep.,11,74
2014,Ecuador,Syrian Arab Rep.,13,87
2004,Egypt,Syrian Arab Rep.,1,1
2005,Egypt,Syrian Arab Rep.,2,3
2006,Egypt,Syrian Arab Rep.,4,7
2007,Egypt,Syrian Arab Rep.,4,11
2008,Egypt,Syrian Arab Rep.,9,20
2009,Egypt,Syrian Arab Rep.,9,29
2010,Egypt,Syrian Arab Rep.,8,37
2011,Egypt,Syrian Arab Rep.,9,46
2012,Egypt,Syrian Arab Rep.,12836,12882
2013,Egypt,Syrian Arab Rep.,131659,144541
2014,Egypt,Syrian Arab Rep.,138381,282922
2013,Estonia,Syrian Arab Rep.,2,2
2014,Estonia,Syrian Arab Rep.,6,8
2014,Ethiopia,Syrian Arab Rep.,0,0
2004,Finland,Syrian Arab Rep.,40,40
2005,Finland,Syrian Arab Rep.,39,79
2006,Finland,Syrian Arab Rep.,42,121
2007,Finland,Syrian Arab Rep.,46,167
2008,Finland,Syrian Arab Rep.,50,217
2009,Finland,Syrian Arab Rep.,52,269
2010,Finland,Syrian Arab Rep.,59,328
2011,Finland,Syrian Arab Rep.,86,414
2012,Finland,Syrian Arab Rep.,218,632
2013,Finland,Syrian Arab Rep.,352,984
2014,Finland,Syrian Arab Rep.,438,1422
2004,France,Syrian Arab Rep.,205,205
2005,France,Syrian Arab Rep.,213,418
2006,France,Syrian Arab Rep.,216,634
2007,France,Syrian Arab Rep.,217,851
2008,France,Syrian Arab Rep.,233,1084
2009,France,Syrian Arab Rep.,244,1328
2010,France,Syrian Arab Rep.,280,1608
2011,France,Syrian Arab Rep.,351,1959
2012,France,Syrian Arab Rep.,640,2599
2013,France,Syrian Arab Rep.,1474,4073
2014,France,Syrian Arab Rep.,2882,6955
2014,Gabon,Syrian Arab Rep.,0,0
2012,Georgia,Syrian Arab Rep.,141,141
2013,Georgia,Syrian Arab Rep.,516,657
2014,Georgia,Syrian Arab Rep.,471,1128
2004,Germany,Syrian Arab Rep.,16184,16184
2005,Germany,Syrian Arab Rep.,10469,26653
2006,Germany,Syrian Arab Rep.,5845,32498
2007,Germany,Syrian Arab Rep.,6996,39494
2008,Germany,Syrian Arab Rep.,8205,47699
2009,Germany,Syrian Arab Rep.,10217,57916
2010,Germany,Syrian Arab Rep.,10518,68434
2011,Germany,Syrian Arab Rep.,10155,78589
2012,Germany,Syrian Arab Rep.,18165,96754
2013,Germany,Syrian Arab Rep.,21253,118007
2014,Germany,Syrian Arab Rep.,40994,159001
2012,Ghana,Syrian Arab Rep.,0,0
2013,Ghana,Syrian Arab Rep.,1,1
2014,Ghana,Syrian Arab Rep.,5,6
2004,Greece,Syrian Arab Rep.,50,50
2005,Greece,Syrian Arab Rep.,49,99
2006,Greece,Syrian Arab Rep.,50,149
2007,Greece,Syrian Arab Rep.,47,196
2008,Greece,Syrian Arab Rep.,39,235
2009,Greece,Syrian Arab Rep.,19,254
2010,Greece,Syrian Arab Rep.,16,270
2011,Greece,Syrian Arab Rep.,10,280
2012,Greece,Syrian Arab Rep.,20,300
2013,Greece,Syrian Arab Rep.,195,495
2014,Greece,Syrian Arab Rep.,3913,4408
2004,Hungary,Syrian Arab Rep.,29,29
2005,Hungary,Syrian Arab Rep.,44,73
2006,Hungary,Syrian Arab Rep.,46,119
2007,Hungary,Syrian Arab Rep.,42,161
2008,Hungary,Syrian Arab Rep.,44,205
2009,Hungary,Syrian Arab Rep.,43,248
2010,Hungary,Syrian Arab Rep.,39,287
2011,Hungary,Syrian Arab Rep.,42,329
2012,Hungary,Syrian Arab Rep.,86,415
2013,Hungary,Syrian Arab Rep.,141,556
2014,Hungary,Syrian Arab Rep.,334,890
2004,Iceland,Syrian Arab Rep.,1,1
2005,Iceland,Syrian Arab Rep.,1,2
2006,Iceland,Syrian Arab Rep.,1,3
2007,Iceland,Syrian Arab Rep.,1,4
2008,Iceland,Syrian Arab Rep.,1,5
2009,Iceland,Syrian Arab Rep.,1,6
2010,Iceland,Syrian Arab Rep.,1,7
2011,Iceland,Syrian Arab Rep.,1,8
2012,Iceland,Syrian Arab Rep.,2,10
2013,Iceland,Syrian Arab Rep.,7,17
2014,Iceland,Syrian Arab Rep.,7,24
2006,India,Syrian Arab Rep.,0,0
2007,India,Syrian Arab Rep.,4,4
2008,India,Syrian Arab Rep.,0,4
2011,India,Syrian Arab Rep.,0,4
2012,India,Syrian Arab Rep.,6,10
2013,India,Syrian Arab Rep.,18,28
2014,India,Syrian Arab Rep.,27,55
2004,Indonesia,Syrian Arab Rep.,2,2
2005,Indonesia,Syrian Arab Rep.,1,3
2006,Indonesia,Syrian Arab Rep.,1,4
2007,Indonesia,Syrian Arab Rep.,1,5
2009,Indonesia,Syrian Arab Rep.,0,5
2011,Indonesia,Syrian Arab Rep.,0,5
2012,Indonesia,Syrian Arab Rep.,5,10
2013,Indonesia,Syrian Arab Rep.,36,46
2014,Indonesia,Syrian Arab Rep.,43,89
2006,Iran,Syrian Arab Rep.,0,0
2007,Iran,Syrian Arab Rep.,0,0
2008,Iran,Syrian Arab Rep.,0,0
2009,Iran,Syrian Arab Rep.,0,0
2010,Iran,Syrian Arab Rep.,0,0
2011,Iran,Syrian Arab Rep.,0,0
2012,Iran,Syrian Arab Rep.,0,0
2013,Iran,Syrian Arab Rep.,0,0
2014,Iran,Syrian Arab Rep.,0,0
2004,Iraq,Syrian Arab Rep.,489,489
2005,Iraq,Syrian Arab Rep.,627,1116
2006,Iraq,Syrian Arab Rep.,663,1779
2007,Iraq,Syrian Arab Rep.,590,2369
2008,Iraq,Syrian Arab Rep.,534,2903
2009,Iraq,Syrian Arab Rep.,757,3660
2010,Iraq,Syrian Arab Rep.,254,3914
2011,Iraq,Syrian Arab Rep.,323,4237
2012,Iraq,Syrian Arab Rep.,63586,67823
2013,Iraq,Syrian Arab Rep.,212809,280632
2014,Iraq,Syrian Arab Rep.,234196,514828
2004,Ireland,Syrian Arab Rep.,21,21
2005,Ireland,Syrian Arab Rep.,27,48
2006,Ireland,Syrian Arab Rep.,29,77
2007,Ireland,Syrian Arab Rep.,34,111
2008,Ireland,Syrian Arab Rep.,36,147
2009,Ireland,Syrian Arab Rep.,34,181
2010,Ireland,Syrian Arab Rep.,34,215
2011,Ireland,Syrian Arab Rep.,27,242
2012,Ireland,Syrian Arab Rep.,38,280
2013,Ireland,Syrian Arab Rep.,71,351
2014,Ireland,Syrian Arab Rep.,176,527
2004,Israel,Syrian Arab Rep.,1,1
2005,Israel,Syrian Arab Rep.,2,3
2006,Israel,Syrian Arab Rep.,2,5
2007,Israel,Syrian Arab Rep.,2,7
2008,Israel,Syrian Arab Rep.,1,8
2013,Israel,Syrian Arab Rep.,1,9
2014,Israel,Syrian Arab Rep.,0,9
2004,Italy,Syrian Arab Rep.,41,41
2005,Italy,Syrian Arab Rep.,47,88
2006,Italy,Syrian Arab Rep.,62,150
2007,Italy,Syrian Arab Rep.,84,234
2008,Italy,Syrian Arab Rep.,110,344
2009,Italy,Syrian Arab Rep.,190,534
2010,Italy,Syrian Arab Rep.,211,745
2011,Italy,Syrian Arab Rep.,262,1007
2012,Italy,Syrian Arab Rep.,445,1452
2013,Italy,Syrian Arab Rep.,840,2292
2014,Italy,Syrian Arab Rep.,1144,3436
2013,Jamaica,Syrian Arab Rep.,2,2
2014,Jamaica,Syrian Arab Rep.,0,2
2012,Japan,Syrian Arab Rep.,0,0
2013,Japan,Syrian Arab Rep.,26,26
2014,Japan,Syrian Arab Rep.,41,67
2004,Jordan,Syrian Arab Rep.,37,37
2005,Jordan,Syrian Arab Rep.,40,77
2006,Jordan,Syrian Arab Rep.,42,119
2007,Jordan,Syrian Arab Rep.,41,160
2008,Jordan,Syrian Arab Rep.,44,204
2009,Jordan,Syrian Arab Rep.,138,342
2010,Jordan,Syrian Arab Rep.,198,540
2011,Jordan,Syrian Arab Rep.,193,733
2012,Jordan,Syrian Arab Rep.,238798,239531
2013,Jordan,Syrian Arab Rep.,585304,824835
2014,Jordan,Syrian Arab Rep.,623112,1447947
2011,Kazakhstan,Syrian Arab Rep.,0,0
2012,Kazakhstan,Syrian Arab Rep.,0,0
2013,Kazakhstan,Syrian Arab Rep.,7,7
2014,Kazakhstan,Syrian Arab Rep.,14,21
2014,Kenya,Syrian Arab Rep.,0,0
2004,Kuwait,Syrian Arab Rep.,0,0
2005,Kuwait,Syrian Arab Rep.,0,0
2006,Kuwait,Syrian Arab Rep.,0,0
2007,Kuwait,Syrian Arab Rep.,0,0
2008,Kuwait,Syrian Arab Rep.,0,0
2009,Kuwait,Syrian Arab Rep.,0,0
2010,Kuwait,Syrian Arab Rep.,4,4
2011,Kuwait,Syrian Arab Rep.,10,14
2012,Kuwait,Syrian Arab Rep.,15,29
2013,Kuwait,Syrian Arab Rep.,13,42
2014,Kuwait,Syrian Arab Rep.,15,57
2004,Kyrgyzstan,Syrian Arab Rep.,6,6
2005,Kyrgyzstan,Syrian Arab Rep.,0,6
2006,Kyrgyzstan,Syrian Arab Rep.,0,6
2007,Kyrgyzstan,Syrian Arab Rep.,4,10
2008,Kyrgyzstan,Syrian Arab Rep.,4,14
2009,Kyrgyzstan,Syrian Arab Rep.,4,18
2010,Kyrgyzstan,Syrian Arab Rep.,11,29
2011,Kyrgyzstan,Syrian Arab Rep.,9,38
2012,Kyrgyzstan,Syrian Arab Rep.,7,45
2013,Kyrgyzstan,Syrian Arab Rep.,14,59
2014,Kyrgyzstan,Syrian Arab Rep.,56,115
2008,Latvia,Syrian Arab Rep.,0,0
2011,Latvia,Syrian Arab Rep.,4,4
2012,Latvia,Syrian Arab Rep.,17,21
2013,Latvia,Syrian Arab Rep.,33,54
2014,Latvia,Syrian Arab Rep.,52,106
2006,Lebanon,Syrian Arab Rep.,6,6
2007,Lebanon,Syrian Arab Rep.,48,54
2008,Lebanon,Syrian Arab Rep.,84,138
2009,Lebanon,Syrian Arab Rep.,90,228
2010,Lebanon,Syrian Arab Rep.,64,292
2011,Lebanon,Syrian Arab Rep.,124,416
2012,Lebanon,Syrian Arab Rep.,126939,127355
2013,Lebanon,Syrian Arab Rep.,851284,978639
2014,Lebanon,Syrian Arab Rep.,1147494,2126133
2013,Liberia,Syrian Arab Rep.,0,0
2014,Liberia,Syrian Arab Rep.,6,6
2004,Libya,Syrian Arab Rep.,0,0
2005,Libya,Syrian Arab Rep.,0,0
2006,Libya,Syrian Arab Rep.,0,0
2007,Libya,Syrian Arab Rep.,2,2
2008,Libya,Syrian Arab Rep.,0,2
2009,Libya,Syrian Arab Rep.,0,2
2010,Libya,Syrian Arab Rep.,0,2
2011,Libya,Syrian Arab Rep.,0,2
2012,Libya,Syrian Arab Rep.,0,2
2013,Libya,Syrian Arab Rep.,16796,16798
2014,Libya,Syrian Arab Rep.,18653,35451
2014,Liechtenstein,Syrian Arab Rep.,5,5
2006,Lithuania,Syrian Arab Rep.,0,0
2007,Lithuania,Syrian Arab Rep.,3,3
2008,Lithuania,Syrian Arab Rep.,3,6
2009,Lithuania,Syrian Arab Rep.,3,9
2010,Lithuania,Syrian Arab Rep.,3,12
2011,Lithuania,Syrian Arab Rep.,4,16
2012,Lithuania,Syrian Arab Rep.,5,21
2013,Lithuania,Syrian Arab Rep.,18,39
2014,Lithuania,Syrian Arab Rep.,20,59
2010,Luxembourg,Syrian Arab Rep.,0,0
2013,Luxembourg,Syrian Arab Rep.,5,5
2014,Luxembourg,Syrian Arab Rep.,59,64
2004,Malaysia,Syrian Arab Rep.,0,0
2005,Malaysia,Syrian Arab Rep.,0,0
2006,Malaysia,Syrian Arab Rep.,0,0
2007,Malaysia,Syrian Arab Rep.,3,3
2009,Malaysia,Syrian Arab Rep.,0,3
2010,Malaysia,Syrian Arab Rep.,0,3
2011,Malaysia,Syrian Arab Rep.,4,7
2012,Malaysia,Syrian Arab Rep.,4,11
2013,Malaysia,Syrian Arab Rep.,101,112
2014,Malaysia,Syrian Arab Rep.,447,559
2014,Mali,Syrian Arab Rep.,16,16
2004,Malta,Syrian Arab Rep.,10,10
2005,Malta,Syrian Arab Rep.,8,18
2006,Malta,Syrian Arab Rep.,11,29
2007,Malta,Syrian Arab Rep.,11,40
2008,Malta,Syrian Arab Rep.,11,51
2009,Malta,Syrian Arab Rep.,18,69
2010,Malta,Syrian Arab Rep.,33,102
2011,Malta,Syrian Arab Rep.,80,182
2012,Malta,Syrian Arab Rep.,191,373
2013,Malta,Syrian Arab Rep.,776,1149
2014,Malta,Syrian Arab Rep.,1047,2196
2013,Mauritania,Syrian Arab Rep.,5,5
2014,Mauritania,Syrian Arab Rep.,41,46
2006,Mexico,Syrian Arab Rep.,0,0
2012,Mexico,Syrian Arab Rep.,2,2
2013,Mexico,Syrian Arab Rep.,13,15
2014,Mexico,Syrian Arab Rep.,13,28
2013,Mongolia,Syrian Arab Rep.,0,0
2014,Mongolia,Syrian Arab Rep.,0,0
2012,Montenegro,Syrian Arab Rep.,0,0
2013,Montenegro,Syrian Arab Rep.,0,0
2014,Montenegro,Syrian Arab Rep.,0,0
2004,Morocco,Syrian Arab Rep.,3,3
2005,Morocco,Syrian Arab Rep.,3,6
2006,Morocco,Syrian Arab Rep.,2,8
2007,Morocco,Syrian Arab Rep.,2,10
2011,Morocco,Syrian Arab Rep.,0,10
2012,Morocco,Syrian Arab Rep.,0,10
2013,Morocco,Syrian Arab Rep.,856,866
2014,Morocco,Syrian Arab Rep.,647,1513
2014,Nauru,Syrian Arab Rep.,0,0
2004,Netherlands,Syrian Arab Rep.,1588,1588
2005,Netherlands,Syrian Arab Rep.,1674,3262
2006,Netherlands,Syrian Arab Rep.,1559,4821
2007,Netherlands,Syrian Arab Rep.,1421,6242
2008,Netherlands,Syrian Arab Rep.,1326,7568
2009,Netherlands,Syrian Arab Rep.,1254,8822
2010,Netherlands,Syrian Arab Rep.,1186,10008
2011,Netherlands,Syrian Arab Rep.,1064,11072
2012,Netherlands,Syrian Arab Rep.,1449,12521
2013,Netherlands,Syrian Arab Rep.,3404,15925
2014,Netherlands,Syrian Arab Rep.,8692,24617
2004,New Zealand,Syrian Arab Rep.,49,49
2005,New Zealand,Syrian Arab Rep.,37,86
2006,New Zealand,Syrian Arab Rep.,38,124
2007,New Zealand,Syrian Arab Rep.,30,154
2008,New Zealand,Syrian Arab Rep.,33,187
2009,New Zealand,Syrian Arab Rep.,35,222
2010,New Zealand,Syrian Arab Rep.,36,258
2011,New Zealand,Syrian Arab Rep.,35,293
2012,New Zealand,Syrian Arab Rep.,41,334
2013,New Zealand,Syrian Arab Rep.,43,377
2014,New Zealand,Syrian Arab Rep.,48,425
2012,Niger,Syrian Arab Rep.,0,0
2013,Niger,Syrian Arab Rep.,6,6
2014,Niger,Syrian Arab Rep.,6,12
2006,Nigeria,Syrian Arab Rep.,0,0
2012,Nigeria,Syrian Arab Rep.,0,0
2013,Nigeria,Syrian Arab Rep.,9,9
2014,Nigeria,Syrian Arab Rep.,11,20
2004,Norway,Syrian Arab Rep.,132,132
2005,Norway,Syrian Arab Rep.,144,276
2006,Norway,Syrian Arab Rep.,146,422
2007,Norway,Syrian Arab Rep.,149,571
2008,Norway,Syrian Arab Rep.,154,725
2009,Norway,Syrian Arab Rep.,152,877
2010,Norway,Syrian Arab Rep.,186,1063
2011,Norway,Syrian Arab Rep.,171,1234
2012,Norway,Syrian Arab Rep.,565,1799
2013,Norway,Syrian Arab Rep.,1311,3110
2014,Norway,Syrian Arab Rep.,2568,5678
2004,Oman,Syrian Arab Rep.,0,0
2005,Oman,Syrian Arab Rep.,7,7
2006,Oman,Syrian Arab Rep.,7,14
2007,Oman,Syrian Arab Rep.,7,21
2008,Oman,Syrian Arab Rep.,7,28
2009,Oman,Syrian Arab Rep.,7,35
2010,Oman,Syrian Arab Rep.,7,42
2011,Oman,Syrian Arab Rep.,7,49
2012,Oman,Syrian Arab Rep.,7,56
2013,Oman,Syrian Arab Rep.,7,63
2014,Oman,Syrian Arab Rep.,7,70
2004,Pakistan,Syrian Arab Rep.,8,8
2005,Pakistan,Syrian Arab Rep.,8,16
2006,Pakistan,Syrian Arab Rep.,8,24
2007,Pakistan,Syrian Arab Rep.,8,32
2008,Pakistan,Syrian Arab Rep.,8,40
2009,Pakistan,Syrian Arab Rep.,8,48
2010,Pakistan,Syrian Arab Rep.,8,56
2011,Pakistan,Syrian Arab Rep.,8,64
2012,Pakistan,Syrian Arab Rep.,11,75
2013,Pakistan,Syrian Arab Rep.,13,88
2014,Pakistan,Syrian Arab Rep.,16,104
2011,Panama,Syrian Arab Rep.,0,0
